experiment_id,timestamp,batch_size,shuffle_buffer,epochs,learning_rate,dropout_rate,l1,l2,train_loss,val_loss,train_accuracy,val_accuracy,training_time_min,acc_normal,precision_normal,recall_normal,f1_normal,acc_benign,precision_benign,recall_benign,f1_benign,acc_malignant,precision_malignant,recall_malignant,f1_malignant
41,2026-01-27T01:19:53.965238,64,1000,30,9.999999747378752e-05,0.0,0.0,0.0,0.6934311985969543,0.5492811799049377,0.8719871044158936,0.7902889847755432,10.543686318397523,0.9647340107591154,0.9374183243792653,0.9647340107591154,0.9508800353487002,0.1646655231560892,0.401673640167364,0.1646655231560892,0.23357664233576642,0.47911547911547914,0.35071942446043164,0.47911547911547914,0.40498442367601245
42,2026-01-27T01:35:28.364584,64,1000,30,9.999999747378752e-05,0.0,0.0,0.0,0.6666048169136047,0.5812829732894897,0.8776952624320984,0.7547513842582703,13.660487186908721,0.9650328750747161,0.9458113649677797,0.9650328750747161,0.9553254437869823,0.3979416809605489,0.44787644787644787,0.3979416809605489,0.4214350590372389,0.3194103194103194,0.3869047619047619,0.3194103194103194,0.34993270524899056
43,2026-01-27T21:11:27.302474,64,1000,30,9.999999747378752e-05,0.0,0.0,0.0,0.7471306324005127,0.35621726512908936,0.8718976378440857,0.8478260636329651,14.143315664927165,0.9943215780035863,0.8953175457481163,0.9943215780035863,0.9422259983007647,0.17495711835334476,0.4700460829493088,0.17495711835334476,0.255,0.036855036855036855,0.45454545454545453,0.036855036855036855,0.06818181818181818
44,2026-01-27T21:23:08.210025,64,1000,30,9.999999747378752e-05,0.0,0.0,0.0,0.7533654570579529,0.41889750957489014,0.870806097984314,0.8198385834693909,8.868666390577951,0.9113867304243873,0.9632027795325332,0.9113867304243873,0.9365786240786241,0.7307032590051458,0.3284502698535081,0.7307032590051458,0.4531914893617021,0.03194103194103194,0.24528301886792453,0.03194103194103194,0.05652173913043478
45,2026-01-27T21:28:04.239697,64,1000,30,9.999999747378752e-05,0.0,0.0,0.0,0.8368239402770996,2.0029819011688232,0.8467925190925598,0.5551939606666565,4.024050947030386,0.9521817095038853,0.9224088013896931,0.9521817095038853,0.9370588235294117,0.3653516295025729,0.3217522658610272,0.3653516295025729,0.3421686746987952,0.06633906633906633,0.24107142857142858,0.06633906633906633,0.10404624277456648
46,2026-01-27T21:35:25.635954,64,1000,30,9.999999747378752e-05,0.0,0.0,0.0,0.6568340063095093,0.5796076655387878,0.8700903654098511,0.8254360556602478,6.218463357289632,0.9956664674237896,0.8952035469568722,0.9956664674237896,0.9427661832331093,0.16123499142367068,0.5053763440860215,0.16123499142367068,0.2444733420026008,0.06142506142506143,0.4716981132075472,0.06142506142506143,0.10869565217391304
47,2026-01-27T21:42:16.030673,64,1000,30,9.999999747378752e-05,0.0,0.0,0.0,0.649422824382782,0.5350751280784607,0.8722376227378845,0.7633428573608398,6.116401163736979,0.9793783622235505,0.9137041684093127,0.9793783622235505,0.9454020915975477,0.2915951972555746,0.41262135922330095,0.2915951972555746,0.3417085427135678,0.11547911547911548,0.4845360824742268,0.11547911547911548,0.1865079365079365
48,2026-01-27T21:47:24.461182,64,1000,30,9.999999747378752e-05,0.0,0.0,0.0,0.6661626696586609,0.5826597213745117,0.8690882921218872,0.7725852727890015,3.9982927958170573,0.969964136282128,0.9228035257321581,0.969964136282128,0.9457962989946088,0.3567753001715266,0.3844731977818854,0.3567753001715266,0.3701067615658363,0.09828009828009827,0.37383177570093457,0.09828009828009827,0.1556420233463035
49,2026-01-27T22:31:21.353810,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.5079689621925354,0.618309497833252,0.8965911865234375,0.7980994582176208,17.85845846335093,0.9306634787806336,0.9202127659574468,0.9306634787806336,0.9254086181277861,0.14065180102915953,0.44324324324324327,0.14065180102915953,0.21354166666666666,0.44963144963144963,0.25102880658436216,0.44963144963144963,0.3221830985915493
50,2026-01-27T22:50:49.031797,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.45431360602378845,4.039581298828125,0.9069517850875854,0.5049466490745544,17.08407259384791,0.9484459055588763,0.9098337155963303,0.9484459055588763,0.9287386596429617,0.2504288164665523,0.34032634032634035,0.2504288164665523,0.2885375494071146,0.12530712530712532,0.18411552346570398,0.12530712530712532,0.14912280701754385
51,2026-01-27T23:04:34.221267,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.5644553899765015,1.4799754619598389,0.8851749300956726,0.6133819222450256,11.344957900047302,0.9556186491332935,0.9165830586211839,0.9556186491332935,0.9356939059185018,0.3670668953687822,0.30440967283072545,0.3670668953687822,0.3328149300155521,0.0,0.0,0.0,0.0
52,2026-01-27T23:25:43.118680,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.5870757102966309,2.677107334136963,0.8871074318885803,0.5096328854560852,14.709415845076244,0.9623430962343096,0.930635838150289,0.9623430962343096,0.946223920070526,0.22641509433962265,0.5136186770428015,0.22641509433962265,0.3142857142857143,0.40294840294840295,0.32475247524752476,0.40294840294840295,0.35964912280701755
53,2026-01-27T23:43:34.376568,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.5752623081207275,0.42633703351020813,0.8903462290763855,0.8565477728843689,13.675207428137462,0.9411237298266587,0.9260402881929128,0.9411237298266587,0.9335210850070407,0.24871355060034306,0.3395784543325527,0.24871355060034306,0.2871287128712871,0.3194103194103194,0.28634361233480177,0.3194103194103194,0.30197444831591175
54,2026-01-28T00:02:26.654693,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.5153319239616394,2.104365348815918,0.9024782776832581,0.4368653893470764,17.990562625726064,0.9865511057979677,0.9205242610150586,0.9865511057979677,0.9523946912867859,0.30874785591766724,0.5504587155963303,0.30874785591766724,0.3956043956043956,0.22604422604422605,0.5027322404371585,0.22604422604422605,0.31186440677966104
55,2026-01-28T00:32:36.882584,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.6195735335350037,3.955573797225952,0.8416211605072021,0.43647488951683044,18.214053825537363,0.9255827854154214,0.9440634049687547,0.9255827854154214,0.9347317588470535,0.4236706689536878,0.33651226158038144,0.4236706689536878,0.37509491268033407,0.28501228501228504,0.2997416020671835,0.28501228501228504,0.29219143576826195
56,2026-01-28T00:48:11.737756,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.7119945883750916,1.0921757221221924,0.7822492718696594,0.6709190607070923,10.240513829390208,0.989988045427376,0.8803986710963455,0.989988045427376,0.9319828374481255,0.07204116638078903,0.27450980392156865,0.07204116638078903,0.11413043478260869,0.002457002457002457,0.25,0.002457002457002457,0.004866180048661801
57,2026-01-28T00:59:44.850914,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.7141392230987549,0.6026552319526672,0.7817124724388123,0.7869044542312622,10.293049025535584,0.9905857740585774,0.8739617666446935,0.9905857740585774,0.9286264621419066,0.03430531732418525,0.2127659574468085,0.03430531732418525,0.059084194977843424,0.002457002457002457,0.3333333333333333,0.002457002457002457,0.004878048780487805
58,2026-01-28T13:31:06.847842,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.6391578912734985,0.6561182737350464,0.8755837678909302,0.7363967895507812,11.460229520003,0.9558757316524088,0.9166666666666666,0.9558757316524088,0.9358607009036809,0.35581787521079256,0.2951048951048951,0.35581787521079256,0.32262996941896027,0.02112676056338028,0.47368421052631576,0.02112676056338028,0.04044943820224719
59,2026-01-28T14:00:02.919528,64,1000,30,9.999999747378752e-05,0.4,0.0,0.0,0.4528730809688568,1.0114238262176514,0.916167140007019,0.8178859949111938,28.000478140513103,0.9710340687378058,0.9639451728247914,0.9710340687378058,0.9674766355140187,0.6610455311973018,0.47058823529411764,0.6610455311973018,0.5497896213183731,0.15023474178403756,0.46715328467153283,0.15023474178403756,0.22735346358792186
