experiment_id,timestamp,batch_size,shuffle_buffer,epochs,learning_rate,dropout_rate,l1,l2,train_loss,val_loss,train_accuracy,val_accuracy,acc_normal,precision_normal,recall_normal,f1_normal,acc_benign,precision_benign,recall_benign,f1_benign,acc_malignant,precision_malignant,recall_malignant,f1_malignant
11,2026-01-25T22:43:26.117487,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.9611220955848694,0.8233868479728699,0.6634159684181213,0.6890133023262024,0.7395397489539749,0.9473583460949464,0.7395397489539749,0.8306478684122188,0.14408233276157806,0.10909090909090909,0.14408233276157806,0.12416851441241686,0.6388206388206388,0.15402843601895735,0.6388206388206388,0.24821002386634844
12,2026-01-25T22:46:07.045422,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.9639554619789124,0.833923876285553,0.6618949770927429,0.6689664125442505,0.6993424985056784,0.9508329947175945,0.6993424985056784,0.8059238849664199,0.6037735849056604,0.15107296137339055,0.6037735849056604,0.24167524888431172,0.2628992628992629,0.24883720930232558,0.2628992628992629,0.25567502986857826
13,2026-01-25T22:50:15.765225,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.9644060134887695,0.7824835777282715,0.6434642672538757,0.653866171836853,0.6846981470412433,0.9642255892255892,0.6846981470412433,0.8007689619014331,0.3516295025728988,0.12909319899244331,0.3516295025728988,0.1888530631045601,0.5798525798525799,0.17585692995529062,0.5798525798525799,0.2698684962835906
14,2026-01-25T22:54:08.475924,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.9424567222595215,0.7654480338096619,0.6584951281547546,0.6749544143676758,0.7069635385534967,0.9672868534042118,0.7069635385534967,0.8168868168868169,0.35334476843910806,0.14365411436541142,0.35334476843910806,0.20426375805651958,0.6093366093366094,0.18275607958732498,0.6093366093366094,0.2811791383219955
15,2026-01-25T22:57:35.685436,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.9183096885681152,1.289002537727356,0.6651158332824707,0.4049726724624634,0.39181111775254035,0.9965792474344356,0.39181111775254035,0.5624798884479245,0.2624356775300172,0.06527303754266212,0.2624356775300172,0.10454390160573966,0.8255528255528255,0.12412264499445881,0.8255528255528255,0.21579961464354527
16,2026-01-25T23:01:14.817425,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.8901457786560059,1.8157991170883179,0.6635054349899292,0.48398855328559875,0.4874476987447699,0.9939061547836685,0.4874476987447699,0.6541006617204732,0.1234991423670669,0.22641509433962265,0.1234991423670669,0.1598224195338513,0.9434889434889435,0.09407153356197942,0.9434889434889435,0.17108487413677878
17,2026-01-25T23:04:34.562151,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.8607315421104431,1.4129077196121216,0.6850675344467163,0.2902889847755432,0.24686192468619247,0.9945815773630343,0.24686192468619247,0.3955465102358434,0.5866209262435678,0.08573577337678616,0.5866209262435678,0.14960629921259844,0.5798525798525799,0.11614173228346457,0.5798525798525799,0.19352193521935218
18,2026-01-25T23:08:16.917586,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.875846266746521,0.8452348113059998,0.673883855342865,0.6521739363670349,0.6749850567842199,0.990135905304691,0.6749850567842199,0.8027368046916652,0.3481989708404803,0.15555555555555556,0.3481989708404803,0.21504237288135594,0.7125307125307125,0.15977961432506887,0.7125307125307125,0.26102610261026105
19,2026-01-25T23:13:43.954662,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.8658314943313599,1.5764856338500977,0.6866779923439026,0.41916167736053467,0.3945008965929468,0.9810479375696767,0.3945008965929468,0.5627198124267292,0.6346483704974271,0.09140316205533597,0.6346483704974271,0.15979270136039733,0.515970515970516,0.22269353128313893,0.515970515970516,0.3111111111111111
20,2026-01-25T23:18:02.349630,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.8583280444145203,0.45751863718032837,0.6956249475479126,0.8342879414558411,0.9100418410041841,0.9411219286045434,0.9100418410041841,0.9253209754615209,0.10463121783876501,0.3034825870646766,0.10463121783876501,0.1556122448979592,0.6339066339066339,0.25544554455445545,0.6339066339066339,0.3641496118560339
21,2026-01-25T23:22:40.265355,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.8464345932006836,2.4599287509918213,0.6946407556533813,0.6060921549797058,0.6355349671249253,0.974564619615032,0.6355349671249253,0.769356005788712,0.0548885077186964,0.19631901840490798,0.0548885077186964,0.08579088471849866,0.9115479115479116,0.11759112519809825,0.9115479115479116,0.20830993823694555
22,2026-01-25T23:29:14.831095,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.9758617877960205,0.8696354031562805,0.6549163460731506,0.6582921147346497,0.697101016138673,0.9506826981862645,0.697101016138673,0.8043796879041296,0.2830188679245283,0.11363636363636363,0.2830188679245283,0.16216216216216217,0.5577395577395577,0.17157974300831444,0.5577395577395577,0.26242774566473986
23,2026-01-25T23:32:36.047558,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.9736248850822449,1.049773931503296,0.6584056615829468,0.5627440810203552,0.5872683801554095,0.9615855150477123,0.5872683801554095,0.7291956582243251,0.14922813036020582,0.06877470355731226,0.14922813036020582,0.09415584415584416,0.7518427518427518,0.1313304721030043,0.7518427518427518,0.2236024844720497
24,2026-01-25T23:34:53.282178,8,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.9824775457382202,0.9083119630813599,0.6520532965660095,0.6217131018638611,0.645397489539749,0.9546861184792219,0.645397489539749,0.7701497860199714,0.5591766723842195,0.12719469371829886,0.5591766723842195,0.20724729815638906,0.32186732186732187,0.22016806722689075,0.32186732186732187,0.26147704590818366
25,2026-01-26T11:47:11.007758,16,1000,10,9.999999747378752e-05,0.4,0.0,0.0,0.9602054357528687,0.7911992073059082,0.6598192453384399,0.7011194825172424,0.7398386132695756,0.9482857690097682,0.7398386132695756,0.831192814572316,0.548885077186964,0.16161616161616163,0.548885077186964,0.24970737417089348,0.28255528255528256,0.2390852390852391,0.28255528255528256,0.25900900900900903
